"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Capelle aan den IJssel";"Capelle aan den IJssel             ";"Zuid-Holland             ";"West-Nederland           "
"Castelre";"Baarle-Nassau                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Castenray";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Casteren";"Bladel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Castricum";"Castricum                          ";"Noord-Holland            ";"West-Nederland           "
"Chaam";"Alphen-Chaam                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Clinge";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"De Cocksdorp";"Texel                              ";"Noord-Holland            ";"West-Nederland           "
"Coevorden";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Colijnsplaat";"Noord-Beveland                     ";"Zeeland                  ";"West-Nederland           "
"Collendoorn";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Colmschate";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Cornwerd";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Cothen";"Wijk bij Duurstede                 ";"Utrecht                  ";"West-Nederland           "
"Creil";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Cromvoirt";"Vught                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Cruquius";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Cuijk";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Culemborg";"Culemborg                          ";"Gelderland               ";"Oost-Nederland           "
"Daarle";"Hellendoorn                        ";"Overijssel               ";"Oost-Nederland           "
"Daarlerveen";"Hellendoorn                        ";"Overijssel               ";"Oost-Nederland           "
"Dalem";"Gorinchem                          ";"Zuid-Holland             ";"West-Nederland           "
"Dalen";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Dalerpeel";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Dalerveen";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Dalfsen";"Dalfsen                            ";"Overijssel               ";"Oost-Nederland           "
"Dalmsholte";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Damwâld";"Dantumadiel                        ";"Friesland                ";"Noord-Nederland          "
"Darp";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Dearsum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Dedemsvaart";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Dedgum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Deelen";"Ede                                ";"Gelderland               ";"Oost-Nederland           "
"Deest";"Druten                             ";"Gelderland               ";"Oost-Nederland           "
"Deil";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Deinum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Delden";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Delfgauw";"Pijnacker-Nootdorp                 ";"Zuid-Holland             ";"West-Nederland           "
"Delfstrahuizen";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Delft";"Delft                              ";"Zuid-Holland             ";"West-Nederland           "
"Delfzijl";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Delwijnen";"Zaltbommel                         ";"Gelderland               ";"Oost-Nederland           "
"Demen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Denekamp";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Deurne";"Deurne                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Deurningen";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Deurningen";"Oldenzaal                          ";"Overijssel               ";"Oost-Nederland           "
"Deursen-Dennenburg";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Deurze";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Deventer";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Didam";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Dieden";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Diemen";"Diemen                             ";"Noord-Holland            ";"West-Nederland           "
"Diepenheim";"Hof van Twente                     ";"Overijssel               ";"Oost-Nederland           "
"Diepenveen";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Dieren";"Rheden                             ";"Gelderland               ";"Oost-Nederland           "
"Diessen";"Hilvarenbeek                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Diever";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Dieverbrug";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Diffelen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Dijken";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Dinteloord";"Steenbergen                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Dinxperlo";"Aalten                             ";"Gelderland               ";"Oost-Nederland           "
"Diphoorn";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Dirkshorn";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Dirksland";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Dodewaard";"Neder-Betuwe                       ";"Gelderland               ";"Oost-Nederland           "
"Doenrade";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Doesburg";"Doesburg                           ";"Gelderland               ";"Oost-Nederland           "
"Doetinchem";"Doetinchem                         ";"Gelderland               ";"Oost-Nederland           "
"Doeveren";"Heusden                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Doezum";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Dokkum";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Den Dolder";"Zeist                              ";"Utrecht                  ";"West-Nederland           "
"Doldersum";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Domburg";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Donderen";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Dongen";"Dongen                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Dongjum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
