,Woonplaatsen,Gemeente,Provincie,Landsdeel
1759,Zevenhoven,Nieuwkoop,Zuid-Holland,West-Nederland
1760,Zevenhuizen,Zuidplas,Zuid-Holland,West-Nederland
1761,Zevenhuizen,Westerkwartier,Groningen,Noord-Nederland
1762,Zierikzee,Schouwen-Duiveland,Zeeland,West-Nederland
1763,Zieuwent,OostGelre,Gelderland,Oost-Nederland
1764,Zijderveld,Vijfheerenlanden,Utrecht,West-Nederland
1765,Zijdewind,HollandsKroon,Noord-Holland,West-Nederland
1766,Zijldijk,Loppersum,Groningen,Noord-Nederland
1767,De Zilk,Noordwijk,Zuid-Holland,West-Nederland
1768,Zoelen,Buren,Gelderland,Oost-Nederland
1769,Zoelmond,Buren,Gelderland,Oost-Nederland
1770,Zoetermeer,Zoetermeer,Zuid-Holland,West-Nederland
1771,Zoeterwoude,Zoeterwoude,Zuid-Holland,West-Nederland
1772,Zonnemaire,Schouwen-Duiveland,Zeeland,West-Nederland
1773,Zorgvlied,Westerveld,Drenthe,Noord-Nederland
1774,Zoutelande,Veere,Zeeland,West-Nederland
1775,Zoutkamp,HetHogeland,Groningen,Noord-Nederland
1776,Zuid-Beijerland,HoekscheWaard,Zuid-Holland,West-Nederland
1777,Zuidbroek,Midden-Groningen,Groningen,Noord-Nederland
1778,Zuiddorpe,Terneuzen,Zeeland,West-Nederland
1779,Zuidermeer,Koggenland,Noord-Holland,West-Nederland
1780,Zuiderwoude,Waterland,Noord-Holland,West-Nederland
1781,Zuidhorn,Westerkwartier,Groningen,Noord-Nederland
1782,Zuidlaarderveen,Tynaarlo,Drenthe,Noord-Nederland
1783,Zuidland,Nissewaard,Zuid-Holland,West-Nederland
1784,Zuidlaren,Tynaarlo,Drenthe,Noord-Nederland
1785,Zuidoostbeemster,Beemster,Noord-Holland,West-Nederland
1786,Zuid-Scharwoude,Langedijk,Noord-Holland,West-Nederland
1787,Zuidschermer,Alkmaar,Noord-Holland,West-Nederland
1788,Zuidveen,Steenwijkerland,Overijssel,Oost-Nederland
1789,Zuidveld,Midden-Drenthe,Drenthe,Noord-Nederland
1790,Zuidvelde,Noordenveld,Drenthe,Noord-Nederland
1791,Zuidwolde,HetHogeland,Groningen,Noord-Nederland
1792,Zuidwolde,DeWolden,Drenthe,Noord-Nederland
1793,Zuidzande,Sluis,Zeeland,West-Nederland
1794,Zuilichem,Zaltbommel,Gelderland,Oost-Nederland
1795,Zuna,Wierden,Overijssel,Oost-Nederland
1796,Zundert,Zundert,Noord-Brabant,Zuid-Nederland
1797,Zurich,Súdwest-Fryslân,Friesland,Noord-Nederland
1798,Zutphen,Zutphen,Gelderland,Oost-Nederland
1799,Zuurdijk,HetHogeland,Groningen,Noord-Nederland
1800,Zwaag,Hoorn,Noord-Holland,West-Nederland
1801,Zwaagdijk-Oost,Medemblik,Noord-Holland,West-Nederland
1802,Zwaagdijk-West,Medemblik,Noord-Holland,West-Nederland
1803,Zwaanshoek,Haarlemmermeer,Noord-Holland,West-Nederland
1804,Zwagerbosch,Noardeast-Fryslân,Friesland,Noord-Nederland
1805,Zwammerdam,AlphenaandenRijn,Zuid-Holland,West-Nederland
1806,Zwanenburg,Haarlemmermeer,Noord-Holland,West-Nederland
1807,Zwartebroek,Barneveld,Gelderland,Oost-Nederland
1808,Zwartemeer,Emmen,Drenthe,Noord-Nederland
1809,Zwartewaal,Brielle,Zuid-Holland,West-Nederland
1810,Zwartsluis,Zwartewaterland,Overijssel,Oost-Nederland
1811,Zweeloo,Coevorden,Drenthe,Noord-Nederland
1812,Zweins,Waadhoeke,Friesland,Noord-Nederland
1813,Zwiggelte,Midden-Drenthe,Drenthe,Noord-Nederland
1814,Zwijndrecht,Zwijndrecht,Zuid-Holland,West-Nederland
1815,Zwinderen,Coevorden,Drenthe,Noord-Nederland
1816,Zwolle,Zwolle,Overijssel,Oost-Nederland
1817,Bron: CBS,,,
1818,Gameren,Zaltbommel,Gelderland,Oost-Nederland
1819,Gapinge,Veere,Zeeland,West-Nederland
1820,Garderen,Barneveld,Gelderland,Oost-Nederland
1821,Garmerwolde,Groningen,Groningen,Noord-Nederland
1822,Garminge,Midden-Drenthe,Drenthe,Noord-Nederland
1823,Garnwerd,Westerkwartier,Groningen,Noord-Nederland
1824,Garrelsweer,Loppersum,Groningen,Noord-Nederland
1825,Garsthuizen,Loppersum,Groningen,Noord-Nederland
1826,Garyp,Tytsjerksteradiel,Friesland,Noord-Nederland
1827,Gassel,Grave,Noord-Brabant,Zuid-Nederland
1828,Gasselte,AaenHunze,Drenthe,Noord-Nederland
1829,Gasselternijveen,AaenHunze,Drenthe,Noord-Nederland
1830,Gasselternijveenschemond,AaenHunze,Drenthe,Noord-Nederland
1831,Gastel,Cranendonck,Noord-Brabant,Zuid-Nederland
1832,Gasteren,AaenHunze,Drenthe,Noord-Nederland
1833,Gauw,Súdwest-Fryslân,Friesland,Noord-Nederland
1834,Geelbroek,AaenHunze,Drenthe,Noord-Nederland
1835,Geerdijk,Twenterand,Overijssel,Oost-Nederland
1836,Geersdijk,Noord-Beveland,Zeeland,West-Nederland
1837,Geertruidenberg,Geertruidenberg,Noord-Brabant,Zuid-Nederland
1838,Geervliet,Nissewaard,Zuid-Holland,West-Nederland
1839,Gees,Coevorden,Drenthe,Noord-Nederland
1840,Geesbrug,Coevorden,Drenthe,Noord-Nederland
1841,Geesteren,Berkelland,Gelderland,Oost-Nederland
1842,Geesteren,Tubbergen,Overijssel,Oost-Nederland
1843,Geeuwenbrug,Westerveld,Drenthe,Noord-Nederland
1844,Geffen,Oss,Noord-Brabant,Zuid-Nederland
1845,Geijsteren,Venray,Limburg,Zuid-Nederland
1846,Geldermalsen,WestBetuwe,Gelderland,Oost-Nederland
1847,Gelderswoude,Zoeterwoude,Zuid-Holland,West-Nederland
1848,Geldrop,Geldrop-Mierlo,Noord-Brabant,Zuid-Nederland
1849,Geleen,Sittard-Geleen,Limburg,Zuid-Nederland
1850,Gellicum,WestBetuwe,Gelderland,Oost-Nederland
1851,Gelselaar,Berkelland,Gelderland,Oost-Nederland
1852,Gemert,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
1853,Gemonde,Sint-Michielsgestel,Noord-Brabant,Zuid-Nederland
1854,Genderen,Altena,Noord-Brabant,Zuid-Nederland
1855,Gendringen,OudeIJsselstreek,Gelderland,Oost-Nederland
1856,Gendt,Lingewaard,Gelderland,Oost-Nederland
1857,Genemuiden,Zwartewaterland,Overijssel,Oost-Nederland
1858,Gennep,Gennep,Limburg,Zuid-Nederland
1859,Gerkesklooster,Achtkarspelen,Friesland,Noord-Nederland
1860,Gersloot,Heerenveen,Friesland,Noord-Nederland
1861,Geulle,Meerssen,Limburg,Zuid-Nederland
1862,Giesbeek,Zevenaar,Gelderland,Oost-Nederland
1863,Giessen,Altena,Noord-Brabant,Zuid-Nederland
1864,Giessenburg,Molenlanden,Zuid-Holland,West-Nederland
1865,Gieten,AaenHunze,Drenthe,Noord-Nederland
1866,Gieterveen,AaenHunze,Drenthe,Noord-Nederland
1867,Giethmen,Ommen,Overijssel,Oost-Nederland
1868,Giethoorn,Steenwijkerland,Overijssel,Oost-Nederland
1869,Gilze,GilzeenRijen,Noord-Brabant,Zuid-Nederland
1870,Ginnum,Noardeast-Fryslân,Friesland,Noord-Nederland
1871,Glane,Losser,Overijssel,Oost-Nederland
1872,Glimmen,Groningen,Groningen,Noord-Nederland
1873,De Glind,Barneveld,Gelderland,Oost-Nederland
1874,Godlinze,Delfzijl,Groningen,Noord-Nederland
1875,Goedereede,Goeree-Overflakkee,Zuid-Holland,West-Nederland
1876,Goënga,Súdwest-Fryslân,Friesland,Noord-Nederland
1877,Goëngahuizen,Smallingerland,Friesland,Noord-Nederland
1878,Goes,Goes,Zeeland,West-Nederland
1879,Goingarijp,DeFryskeMarren,Friesland,Noord-Nederland
1880,Goirle,Goirle,Noord-Brabant,Zuid-Nederland
1881,Goor,HofvanTwente,Overijssel,Oost-Nederland
1882,De Goorn,Koggenland,Noord-Holland,West-Nederland
1883,Gorinchem,Gorinchem,Zuid-Holland,West-Nederland
1884,Gorredijk,Opsterland,Friesland,Noord-Nederland
1885,Gorssel,Lochem,Gelderland,Oost-Nederland
1886,Gouda,Gouda,Zuid-Holland,West-Nederland
1887,Gouderak,Krimpenerwaard,Zuid-Holland,West-Nederland
1888,Goudriaan,Molenlanden,Zuid-Holland,West-Nederland
1889,Goudswaard,HoekscheWaard,Zuid-Holland,West-Nederland
1890,Goutum,Leeuwarden,Friesland,Noord-Nederland
1891,'t Goy,Houten,Utrecht,West-Nederland
1892,Graauw,Hulst,Zeeland,West-Nederland
1893,Grafhorst,Kampen,Overijssel,Oost-Nederland
1894,Graft,Alkmaar,Noord-Holland,West-Nederland
1895,Gramsbergen,Hardenberg,Overijssel,Oost-Nederland
1896,Grashoek,PeelenMaas,Limburg,Zuid-Nederland
1897,Grathem,Leudal,Limburg,Zuid-Nederland
1898,Grave,Grave,Noord-Brabant,Zuid-Nederland
1899,'s-Graveland,Wijdemeren,Noord-Holland,West-Nederland
1900,'s-Gravendeel,HoekscheWaard,Zuid-Holland,West-Nederland
1901,'s-Gravenhage,'s-Gravenhage,Zuid-Holland,West-Nederland
1902,'s Gravenmoer,Dongen,Noord-Brabant,Zuid-Nederland
1903,'s-Gravenpolder,Borsele,Zeeland,West-Nederland
1904,'s-Gravenzande,Westland,Zuid-Holland,West-Nederland
1905,Greonterp,Súdwest-Fryslân,Friesland,Noord-Nederland
1906,Grevenbicht,Sittard-Geleen,Limburg,Zuid-Nederland
1907,Griendtsveen,HorstaandeMaas,Limburg,Zuid-Nederland
1908,Grijpskerk,Westerkwartier,Groningen,Noord-Nederland
1909,Grijpskerke,Veere,Zeeland,West-Nederland
1910,Groede,Sluis,Zeeland,West-Nederland
1911,Groenekan,DeBilt,Utrecht,West-Nederland
1912,Groeningen,Boxmeer,Noord-Brabant,Zuid-Nederland
1913,Groenlo,OostGelre,Gelderland,Oost-Nederland
1914,Groesbeek,BergenDal,Gelderland,Oost-Nederland
1915,Groessen,Duiven,Gelderland,Oost-Nederland
1916,Groet,Bergen(NH.),Noord-Holland,West-Nederland
1917,De Groeve,Tynaarlo,Drenthe,Noord-Nederland
1918,Bron: CBS,,,
1919,Eexterzandvoort,AaenHunze,Drenthe,Noord-Nederland
1920,Egchel,PeelenMaas,Limburg,Zuid-Nederland
1921,Egmond aan den Hoef,Bergen(NH.),Noord-Holland,West-Nederland
1922,Egmond aan Zee,Bergen(NH.),Noord-Holland,West-Nederland
1923,Egmond-Binnen,Bergen(NH.),Noord-Holland,West-Nederland
1924,Eibergen,Berkelland,Gelderland,Oost-Nederland
1925,Eijsden,Eijsden-Margraten,Limburg,Zuid-Nederland
1926,Eindhoven,Eindhoven,Noord-Brabant,Zuid-Nederland
1927,Einighausen,Sittard-Geleen,Limburg,Zuid-Nederland
1928,Ekehaar,AaenHunze,Drenthe,Noord-Nederland
1929,Elahuizen,DeFryskeMarren,Friesland,Noord-Nederland
1930,Elburg,Elburg,Gelderland,Oost-Nederland
1931,Eldersloo,AaenHunze,Drenthe,Noord-Nederland
1932,Eleveld,AaenHunze,Drenthe,Noord-Nederland
1933,Elim,Hoogeveen,Drenthe,Noord-Nederland
1934,Elkenrade,Gulpen-Wittem,Limburg,Zuid-Nederland
1935,Ell,Leudal,Limburg,Zuid-Nederland
1936,Ellecom,Rheden,Gelderland,Oost-Nederland
1937,Ellemeet,Schouwen-Duiveland,Zeeland,West-Nederland
1938,Ellertshaar,Borger-Odoorn,Drenthe,Noord-Nederland
1939,Ellewoutsdijk,Borsele,Zeeland,West-Nederland
1940,Elp,Midden-Drenthe,Drenthe,Noord-Nederland
1941,Elsendorp,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
1942,Elshout,Heusden,Noord-Brabant,Zuid-Nederland
1943,Elsloo,Stein,Limburg,Zuid-Nederland
1944,Elsloo,Ooststellingwerf,Friesland,Noord-Nederland
1945,Elspeet,Nunspeet,Gelderland,Oost-Nederland
1946,Elst,Overbetuwe,Gelderland,Oost-Nederland
1947,Elst Ut,Rhenen,Utrecht,West-Nederland
1948,Emmeloord,Noordoostpolder,Flevoland,Oost-Nederland
1949,Emmen,Emmen,Drenthe,Noord-Nederland
1950,Emmer-Compascuum,Emmen,Drenthe,Noord-Nederland
1951,Empe,Brummen,Gelderland,Oost-Nederland
1952,Emst,Epe,Gelderland,Oost-Nederland
1953,Engwierum,Noardeast-Fryslân,Friesland,Noord-Nederland
1954,Enkhuizen,Enkhuizen,Noord-Holland,West-Nederland
1955,Ens,Noordoostpolder,Flevoland,Oost-Nederland
1956,Enschede,Enschede,Overijssel,Oost-Nederland
1957,Enspijk,WestBetuwe,Gelderland,Oost-Nederland
1958,Enter,Wierden,Overijssel,Oost-Nederland
1959,Enumatil,Westerkwartier,Groningen,Noord-Nederland
1960,Epe,Epe,Gelderland,Oost-Nederland
1961,Epen,Gulpen-Wittem,Limburg,Zuid-Nederland
1962,Eppenhuizen,HetHogeland,Groningen,Noord-Nederland
1963,Epse,Lochem,Gelderland,Oost-Nederland
1964,Erica,Emmen,Drenthe,Noord-Nederland
1965,Erichem,Buren,Gelderland,Oost-Nederland
1966,Erlecom,BergenDal,Gelderland,Oost-Nederland
1967,Erm,Coevorden,Drenthe,Noord-Nederland
1968,Ermelo,Ermelo,Gelderland,Oost-Nederland
1969,Erp,Meierijstad,Noord-Brabant,Zuid-Nederland
1970,Esbeek,Hilvarenbeek,Noord-Brabant,Zuid-Nederland
1971,Esch,Haaren,Noord-Brabant,Zuid-Nederland
1972,Escharen,Grave,Noord-Brabant,Zuid-Nederland
1973,Espel,Noordoostpolder,Flevoland,Oost-Nederland
1974,Est,WestBetuwe,Gelderland,Oost-Nederland
1975,Etten,OudeIJsselstreek,Gelderland,Oost-Nederland
1976,Etten-Leur,Etten-Leur,Noord-Brabant,Zuid-Nederland
1977,Europoort Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
1978,Eursinge,Midden-Drenthe,Drenthe,Noord-Nederland
1979,Eursinge,DeWolden,Drenthe,Noord-Nederland
1980,Everdingen,Vijfheerenlanden,Utrecht,West-Nederland
1981,Evertsoord,HorstaandeMaas,Limburg,Zuid-Nederland
1982,Ewijk,Beuningen,Gelderland,Oost-Nederland
1983,1e Exloërmond,Borger-Odoorn,Drenthe,Noord-Nederland
1984,2e Exloërmond,Borger-Odoorn,Drenthe,Noord-Nederland
1985,Exloërveen,Borger-Odoorn,Drenthe,Noord-Nederland
1986,Exloo,Borger-Odoorn,Drenthe,Noord-Nederland
1987,Exmorra,Súdwest-Fryslân,Friesland,Noord-Nederland
1988,Eygelshoven,Kerkrade,Limburg,Zuid-Nederland
1989,Eys,Gulpen-Wittem,Limburg,Zuid-Nederland
1990,Ezinge,Westerkwartier,Groningen,Noord-Nederland
1991,De Falom,Dantumadiel,Friesland,Noord-Nederland
1992,Farmsum,Delfzijl,Groningen,Noord-Nederland
1993,Feanwâlden,Dantumadiel,Friesland,Noord-Nederland
1994,Feerwerd,Westerkwartier,Groningen,Noord-Nederland
1995,Feinsum,Leeuwarden,Friesland,Noord-Nederland
1996,Ferwert,Noardeast-Fryslân,Friesland,Noord-Nederland
1997,Ferwoude,Súdwest-Fryslân,Friesland,Noord-Nederland
1998,Fijnaart,Moerdijk,Noord-Brabant,Zuid-Nederland
1999,Finsterwolde,Oldambt,Groningen,Noord-Nederland
2000,Firdgum,Waadhoeke,Friesland,Noord-Nederland
2001,Fleringen,Tubbergen,Overijssel,Oost-Nederland
2002,Fluitenberg,Hoogeveen,Drenthe,Noord-Nederland
2003,Fochteloo,Ooststellingwerf,Friesland,Noord-Nederland
2004,Follega,DeFryskeMarren,Friesland,Noord-Nederland
2005,Folsgare,Súdwest-Fryslân,Friesland,Noord-Nederland
2006,Formerum,Terschelling,Friesland,Noord-Nederland
2007,Foudgum,Noardeast-Fryslân,Friesland,Noord-Nederland
2008,Foxhol,Midden-Groningen,Groningen,Noord-Nederland
2009,Foxwolde,Noordenveld,Drenthe,Noord-Nederland
2010,Franeker,Waadhoeke,Friesland,Noord-Nederland
2011,Frederiksoord,Westerveld,Drenthe,Noord-Nederland
2012,Friens,Leeuwarden,Friesland,Noord-Nederland
2013,Frieschepalen,Opsterland,Friesland,Noord-Nederland
2014,Froombosch,Midden-Groningen,Groningen,Noord-Nederland
2015,Gaanderen,Doetinchem,Gelderland,Oost-Nederland
2016,Gaast,Súdwest-Fryslân,Friesland,Noord-Nederland
2017,Gaastmeer,Súdwest-Fryslân,Friesland,Noord-Nederland
2018,Galder,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
2019,Bron: CBS,,,
2020,Assen,Assen,Drenthe,Noord-Nederland
2021,Assendelft,Zaanstad,Noord-Holland,West-Nederland
2022,Asten,Asten,Noord-Brabant,Zuid-Nederland
2023,Augsbuurt,Noardeast-Fryslân,Friesland,Noord-Nederland
2024,Augustinusga,Achtkarspelen,Friesland,Noord-Nederland
2025,Austerlitz,Zeist,Utrecht,West-Nederland
2026,Avenhorn,Koggenland,Noord-Holland,West-Nederland
2027,Axel,Terneuzen,Zeeland,West-Nederland
2028,Azewijn,Montferland,Gelderland,Oost-Nederland
2029,Baaiduinen,Terschelling,Friesland,Noord-Nederland
2030,Baaium,Waadhoeke,Friesland,Noord-Nederland
2031,Baak,Bronckhorst,Gelderland,Oost-Nederland
2032,Baambrugge,DeRondeVenen,Utrecht,West-Nederland
2033,Baard,Leeuwarden,Friesland,Noord-Nederland
2034,Baarland,Borsele,Zeeland,West-Nederland
2035,Baarle-Nassau,Baarle-Nassau,Noord-Brabant,Zuid-Nederland
2036,Baarlo,PeelenMaas,Limburg,Zuid-Nederland
2037,Baarlo,Steenwijkerland,Overijssel,Oost-Nederland
2038,Baarn,Baarn,Utrecht,West-Nederland
2039,Baars,Steenwijkerland,Overijssel,Oost-Nederland
2040,Babberich,Zevenaar,Gelderland,Oost-Nederland
2041,Babyloniënbroek,Altena,Noord-Brabant,Zuid-Nederland
2042,Bad Nieuweschans,Oldambt,Groningen,Noord-Nederland
2043,Badhoevedorp,Haarlemmermeer,Noord-Holland,West-Nederland
2044,Baexem,Leudal,Limburg,Zuid-Nederland
2045,Baflo,HetHogeland,Groningen,Noord-Nederland
2046,Bakel,Gemert-Bakel,Noord-Brabant,Zuid-Nederland
2047,Bakhuizen,DeFryskeMarren,Friesland,Noord-Nederland
2048,Bakkeveen,Opsterland,Friesland,Noord-Nederland
2049,Balgoij,Wijchen,Gelderland,Oost-Nederland
2050,Balinge,Midden-Drenthe,Drenthe,Noord-Nederland
2051,Balk,DeFryskeMarren,Friesland,Noord-Nederland
2052,Balkbrug,Hardenberg,Overijssel,Oost-Nederland
2053,Balloërveld,AaenHunze,Drenthe,Noord-Nederland
2054,Balloo,AaenHunze,Drenthe,Noord-Nederland
2055,Ballum,Ameland,Friesland,Noord-Nederland
2056,Baneheide,Simpelveld,Limburg,Zuid-Nederland
2057,Banholt,Eijsden-Margraten,Limburg,Zuid-Nederland
2058,Bant,Noordoostpolder,Flevoland,Oost-Nederland
2059,Bantega,DeFryskeMarren,Friesland,Noord-Nederland
2060,Barchem,Lochem,Gelderland,Oost-Nederland
2061,Barendrecht,Barendrecht,Zuid-Holland,West-Nederland
2062,Barger-Compascuum,Emmen,Drenthe,Noord-Nederland
2063,Barneveld,Barneveld,Gelderland,Oost-Nederland
2064,Barsingerhorn,HollandsKroon,Noord-Holland,West-Nederland
2065,Basse,Steenwijkerland,Overijssel,Oost-Nederland
2066,Batenburg,Wijchen,Gelderland,Oost-Nederland
2067,Bathmen,Deventer,Overijssel,Oost-Nederland
2068,Bavel,Breda,Noord-Brabant,Zuid-Nederland
2069,Bavel AC,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
2070,Bears,Leeuwarden,Friesland,Noord-Nederland
2071,Bedum,HetHogeland,Groningen,Noord-Nederland
2072,Beegden,Maasgouw,Limburg,Zuid-Nederland
2073,Beek,Montferland,Gelderland,Oost-Nederland
2074,Beek,Beek,Limburg,Zuid-Nederland
2075,Beek,BergenDal,Gelderland,Oost-Nederland
2076,Beek en Donk,Laarbeek,Noord-Brabant,Zuid-Nederland
2077,Beekbergen,Apeldoorn,Gelderland,Oost-Nederland
2078,Beemte Broekland,Apeldoorn,Gelderland,Oost-Nederland
2079,Beers NB,Cuijk,Noord-Brabant,Zuid-Nederland
2080,Beerta,Oldambt,Groningen,Noord-Nederland
2081,Beerze,Ommen,Overijssel,Oost-Nederland
2082,Beerzerveld,Ommen,Overijssel,Oost-Nederland
2083,Beesd,WestBetuwe,Gelderland,Oost-Nederland
2084,Beesel,Beesel,Limburg,Zuid-Nederland
2085,Beets,Edam-Volendam,Noord-Holland,West-Nederland
2086,Beetsterzwaag,Opsterland,Friesland,Noord-Nederland
2087,Beilen,Midden-Drenthe,Drenthe,Noord-Nederland
2088,Beinsdorp,Haarlemmermeer,Noord-Holland,West-Nederland
2089,Belfeld,Venlo,Limburg,Zuid-Nederland
2090,Bellingwolde,Westerwolde,Groningen,Noord-Nederland
2091,Beltrum,Berkelland,Gelderland,Oost-Nederland
2092,Belt-Schutsloot,Steenwijkerland,Overijssel,Oost-Nederland
2093,Bemelen,Eijsden-Margraten,Limburg,Zuid-Nederland
2094,Bemmel,Lingewaard,Gelderland,Oost-Nederland
2095,Beneden-Leeuwen,WestMaasenWaal,Gelderland,Oost-Nederland
2096,Bennebroek,Bloemendaal,Noord-Holland,West-Nederland
2097,Bennekom,Ede,Gelderland,Oost-Nederland
2098,Benneveld,Coevorden,Drenthe,Noord-Nederland
2099,Benningbroek,Medemblik,Noord-Holland,West-Nederland
2100,Benschop,Lopik,Utrecht,West-Nederland
2101,Bentelo,HofvanTwente,Overijssel,Oost-Nederland
2102,Benthuizen,AlphenaandenRijn,Zuid-Holland,West-Nederland
2103,Bentveld,Zandvoort,Noord-Holland,West-Nederland
2104,Berg en Dal,BergenDal,Gelderland,Oost-Nederland
2105,Berg en Terblijt,ValkenburgaandeGeul,Limburg,Zuid-Nederland
2106,Bergambacht,Krimpenerwaard,Zuid-Holland,West-Nederland
2107,Bergeijk,Bergeijk,Noord-Brabant,Zuid-Nederland
2108,Bergen (NH),Bergen(NH.),Noord-Holland,West-Nederland
2109,Bergen aan Zee,Bergen(NH.),Noord-Holland,West-Nederland
2110,Bergen L,Bergen(L.),Limburg,Zuid-Nederland
2111,Bergen op Zoom,BergenopZoom,Noord-Brabant,Zuid-Nederland
2112,Bergentheim,Hardenberg,Overijssel,Oost-Nederland
2113,Bergharen,Wijchen,Gelderland,Oost-Nederland
2114,Berghem,Oss,Noord-Brabant,Zuid-Nederland
2115,Bergschenhoek,Lansingerland,Zuid-Holland,West-Nederland
2116,Beringe,PeelenMaas,Limburg,Zuid-Nederland
2117,Berkel en Rodenrijs,Lansingerland,Zuid-Holland,West-Nederland
2118,Berkel-Enschot,Tilburg,Noord-Brabant,Zuid-Nederland
2119,Berkenwoude,Krimpenerwaard,Zuid-Holland,West-Nederland
2120,Bron: CBS,,,
2121,Vreeland,StichtseVecht,Utrecht,West-Nederland
2122,Vries,Tynaarlo,Drenthe,Noord-Nederland
2123,Vriescheloo,Westerwolde,Groningen,Noord-Nederland
2124,Vriezenveen,Twenterand,Overijssel,Oost-Nederland
2125,Vroomshoop,Twenterand,Overijssel,Oost-Nederland
2126,Vrouwenakker,Nieuwkoop,Zuid-Holland,West-Nederland
2127,Vrouwenparochie,Waadhoeke,Friesland,Noord-Nederland
2128,Vrouwenpolder,Veere,Zeeland,West-Nederland
2129,Vught,Vught,Noord-Brabant,Zuid-Nederland
2130,Vuren,WestBetuwe,Gelderland,Oost-Nederland
2131,Waaksens,Súdwest-Fryslân,Friesland,Noord-Nederland
2132,Waal,Molenlanden,Zuid-Holland,West-Nederland
2133,De Waal,Texel,Noord-Holland,West-Nederland
2134,Waalre,Waalre,Noord-Brabant,Zuid-Nederland
2135,Waalwijk,Waalwijk,Noord-Brabant,Zuid-Nederland
2136,'t Waar,Oldambt,Groningen,Noord-Nederland
2137,Waarde,Reimerswaal,Zeeland,West-Nederland
2138,Waardenburg,WestBetuwe,Gelderland,Oost-Nederland
2139,Waarder,Bodegraven-Reeuwijk,Zuid-Holland,West-Nederland
2140,Waardhuizen,Altena,Noord-Brabant,Zuid-Nederland
2141,Waarland,Schagen,Noord-Holland,West-Nederland
2142,Waaxens,Noardeast-Fryslân,Friesland,Noord-Nederland
2143,Wachtum,Coevorden,Drenthe,Noord-Nederland
2144,Waddinxveen,Waddinxveen,Zuid-Holland,West-Nederland
2145,Wadenoijen,Tiel,Gelderland,Oost-Nederland
2146,Wagenberg,Drimmelen,Noord-Brabant,Zuid-Nederland
2147,Wagenborgen,Delfzijl,Groningen,Noord-Nederland
2148,Wageningen,Wageningen,Gelderland,Oost-Nederland
2149,Walem,ValkenburgaandeGeul,Limburg,Zuid-Nederland
2150,Walsoorden,Hulst,Zeeland,West-Nederland
2151,Wâlterswâld,Dantumadiel,Friesland,Noord-Nederland
2152,Wamel,WestMaasenWaal,Gelderland,Oost-Nederland
2153,Wanneperveen,Steenwijkerland,Overijssel,Oost-Nederland
2154,Wanroij,SintAnthonis,Noord-Brabant,Zuid-Nederland
2155,Wanssum,Venray,Limburg,Zuid-Nederland
2156,Wânswert,Noardeast-Fryslân,Friesland,Noord-Nederland
2157,Wapenveld,Heerde,Gelderland,Oost-Nederland
2158,Wapse,Westerveld,Drenthe,Noord-Nederland
2159,Wapserveen,Westerveld,Drenthe,Noord-Nederland
2160,Warder,Edam-Volendam,Noord-Holland,West-Nederland
2161,Warffum,HetHogeland,Groningen,Noord-Nederland
2162,Warfhuizen,HetHogeland,Groningen,Noord-Nederland
2163,Warfstermolen,Noardeast-Fryslân,Friesland,Noord-Nederland
2164,Warmenhuizen,Schagen,Noord-Holland,West-Nederland
2165,Warmond,Teylingen,Zuid-Holland,West-Nederland
2166,Warns,Súdwest-Fryslân,Friesland,Noord-Nederland
2167,Warnsveld,Zutphen,Gelderland,Oost-Nederland
2168,Warstiens,Leeuwarden,Friesland,Noord-Nederland
2169,Warten,Leeuwarden,Friesland,Noord-Nederland
2170,Waskemeer,Ooststellingwerf,Friesland,Noord-Nederland
2171,Waspik,Waalwijk,Noord-Brabant,Zuid-Nederland
2172,Wassenaar,Wassenaar,Zuid-Holland,West-Nederland
2173,Wateren,Westerveld,Drenthe,Noord-Nederland
2174,Watergang,Waterland,Noord-Holland,West-Nederland
2175,Waterhuizen,Midden-Groningen,Groningen,Noord-Nederland
2176,Wateringen,Westland,Zuid-Holland,West-Nederland
2177,Waterlandkerkje,Sluis,Zeeland,West-Nederland
2178,Waverveen,DeRondeVenen,Utrecht,West-Nederland
2179,Wedde,Westerwolde,Groningen,Noord-Nederland
2180,De Weere,Opmeer,Noord-Holland,West-Nederland
2181,Weerselo,Dinkelland,Overijssel,Oost-Nederland
2182,Weert,Weert,Limburg,Zuid-Nederland
2183,Weesp,Weesp,Noord-Holland,West-Nederland
2184,Wehe-den Hoorn,HetHogeland,Groningen,Noord-Nederland
2185,Wehl,Doetinchem,Gelderland,Oost-Nederland
2186,Weidum,Leeuwarden,Friesland,Noord-Nederland
2187,Weiteveen,Emmen,Drenthe,Noord-Nederland
2188,Wekerom,Ede,Gelderland,Oost-Nederland
2189,Well,Maasdriel,Gelderland,Oost-Nederland
2190,Well L,Bergen(L.),Limburg,Zuid-Nederland
2191,Wellerlooi,Bergen(L.),Limburg,Zuid-Nederland
2192,Welsum,Olst-Wijhe,Overijssel,Oost-Nederland
2193,Wemeldinge,Kapelle,Zeeland,West-Nederland
2194,Wenum Wiesel,Apeldoorn,Gelderland,Oost-Nederland
2195,Wergea,Leeuwarden,Friesland,Noord-Nederland
